teste, tolerancia
Luzes ON-OFF,	Funcionando
Luzes no painel de controle,	Funcionando
Luzes de irradiação,	Funcionando
Sistemas de visualização,	Funcionando
Sistemas anti-colisão,	Não Aplicável
Interruptor de radiação no acesso à sala de Radiação,	Funcionando
Interruptor de radiação no painel de Controle,	Funcionando
Programação,	Funcionando
Interrupção por UM,	Funcionando
Verificação de câmaras monitoras,	Funcionando e coincidentes
